entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-28 00:00:00,2024-09-28 00:15:00,BUY SIDE,66075.0,66087.96,-71.32000000000698,1,0,102663.87000000005,102663.87000000005
2024-09-28 00:30:00,2024-09-28 01:30:00,BUY SIDE,66087.95,66015.96,-152.6600000000035,4,0,102511.21000000005,102511.21000000005
2024-09-28 02:45:00,2024-09-28 03:00:00,BUY SIDE,65780.11,65818.52,19.99000000000524,1,0,102531.20000000006,102531.20000000006
2024-09-28 03:30:00,2024-09-28 04:00:00,BUY SIDE,65800.28,65641.67,49.220000000001164,2,0,102580.42000000006,102580.42000000006
2024-09-28 04:45:00,2024-09-28 05:30:00,BUY SIDE,65726.03,65600.98,-193.65000000000146,3,0,102386.77000000005,102386.77000000005
2024-09-28 05:45:00,2024-09-28 06:00:00,BUY SIDE,65600.98,65706.07,38.13000000000466,1,0,102424.90000000005,102424.90000000005
2024-09-28 07:00:00,2024-09-28 07:45:00,BUY SIDE,65770.82,65802.27,-20.920000000012806,3,0,102403.98000000004,102403.98000000004
2024-09-28 08:00:00,2024-09-28 08:30:00,BUY SIDE,65780.6,65465.31,-136.43000000000757,2,0,102267.55000000003,102267.55000000003
2024-09-28 09:30:00,2024-09-28 10:15:00,BUY SIDE,65507.4,65723.67,140.34999999999854,3,0,102407.90000000002,102407.90000000002
2024-09-28 10:45:00,2024-09-28 11:00:00,BUY SIDE,65769.29,65695.0,-35.7899999999936,1,0,102372.11000000003,102372.11000000003
2024-09-28 11:30:00,2024-09-28 12:00:00,BUY SIDE,65680.35,65619.17,-46.41000000000349,2,0,102325.70000000003,102325.70000000003
2024-09-28 12:30:00,2024-09-28 12:45:00,BUY SIDE,65672.16,65525.14,-107.05999999999767,1,0,102218.64000000003,102218.64000000003
2024-09-28 13:15:00,2024-09-28 13:30:00,BUY SIDE,65602.75,65657.16,93.39999999999418,1,0,102312.04000000002,102312.04000000002
2024-09-28 13:45:00,2024-09-28 14:00:00,BUY SIDE,65661.2,65793.74,-17.55999999999767,1,0,102294.48000000003,102294.48000000003
2024-09-28 14:45:00,2024-09-28 15:00:00,BUY SIDE,65732.52,65737.58,-22.180000000007567,1,0,102272.30000000002,102272.30000000002
2024-09-28 17:15:00,2024-09-28 18:30:00,BUY SIDE,65572.36,65727.93,147.94000000000233,5,0,102420.24000000002,102420.24000000002
2024-09-28 18:45:00,2024-09-28 19:15:00,BUY SIDE,65722.57,65667.22,-73.03000000001339,2,0,102347.21,102347.21
2024-09-28 19:30:00,2024-09-28 19:45:00,BUY SIDE,65634.3,65858.99,96.69000000000233,1,0,102443.90000000001,102443.90000000001
2024-09-28 20:30:00,2024-09-28 20:45:00,BUY SIDE,65898.59,65685.32,-141.5899999999965,1,0,102302.31000000001,102302.31000000001
2024-09-28 21:15:00,2024-09-28 21:30:00,BUY SIDE,65694.64,65755.1,73.88000000000466,1,0,102376.19000000002,102376.19000000002
2024-09-28 22:00:00,2024-09-28 22:15:00,BUY SIDE,65873.38,65907.76,9.559999999997672,1,0,102385.75000000001,102385.75000000001
2024-09-29 00:15:00,2024-09-29 00:30:00,BUY SIDE,65742.02,65742.01,17.589999999996508,1,0,102403.34000000001,102403.34000000001
2024-09-29 00:45:00,2024-09-29 01:00:00,BUY SIDE,65742.0,65722.01,-27.60000000000582,1,0,102375.74,102375.74
2024-09-29 01:15:00,2024-09-29 01:30:00,BUY SIDE,65722.01,65566.81,16.060000000012224,1,0,102391.80000000002,102391.80000000002
2024-09-29 03:00:00,2024-09-29 04:15:00,BUY SIDE,65508.7,65445.64,9.10000000000582,5,0,102400.90000000002,102400.90000000002
2024-09-29 05:30:00,2024-09-29 06:00:00,BUY SIDE,65601.5,65551.43,-1.3999999999941792,2,0,102399.50000000003,102399.50000000003
2024-09-29 06:15:00,2024-09-29 07:00:00,BUY SIDE,65551.43,65639.0,-11.029999999998836,3,0,102388.47000000003,102388.47000000003
2024-09-29 07:45:00,2024-09-29 08:15:00,BUY SIDE,65675.0,65689.29,193.0,2,0,102581.47000000003,102581.47000000003
2024-09-29 08:45:00,2024-09-29 09:15:00,BUY SIDE,65715.12,65735.37,55.63000000000466,2,0,102637.10000000003,102637.10000000003
2024-09-29 10:00:00,2024-09-29 10:30:00,BUY SIDE,65819.56,65697.91,-88.22999999999593,2,0,102548.87000000004,102548.87000000004
2024-09-29 10:45:00,2024-09-29 11:15:00,BUY SIDE,65697.85,65652.78,13.489999999990687,2,0,102562.36000000003,102562.36000000003
2024-09-29 11:30:00,2024-09-29 11:45:00,BUY SIDE,65652.62,65763.87,93.97000000000116,1,0,102656.33000000003,102656.33000000003
2024-09-29 13:15:00,2024-09-29 13:45:00,BUY SIDE,65888.43,65828.16,-25.489999999990687,2,0,102630.84000000004,102630.84000000004
2024-09-29 14:30:00,2024-09-29 15:45:00,BUY SIDE,65770.11,65967.93,102.69000000000233,5,0,102733.53000000004,102733.53000000004
2024-09-29 16:00:00,2024-09-29 16:30:00,BUY SIDE,65967.93,65873.6,-51.779999999998836,2,0,102681.75000000004,102681.75000000004
2024-09-29 17:30:00,2024-09-29 19:00:00,BUY SIDE,65862.38,65611.1,-187.05999999999767,6,0,102494.69000000005,102494.69000000005
